epoch,train_loss,recall@1,recall@5,recall@10,num_val_queries,num_val_db,epoch_time_min,num_valid_queries,num_train_batches,checkpoint,best_so_far,overlap_found_rate,overlap_weight_mean,cph_num_valid_queries,cph_recall@1,cph_recall@5,cph_recall@10,sf_num_valid_queries,sf_recall@1,sf_recall@5,sf_recall@10,best_recall@1_so_far,epochs_without_improvement
1,0.004670349327456593,0.4162162259221077,0.5175675591101517,0.5648648710266964,,,395.42472692330676,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_001.ckpt,True,1.0,0.6241128984228257,498,0.5401606559753418,0.6827309131622314,0.7429718971252441,242,0.16115702688694,0.17768594622612,0.19834710657596588,0.4162162259221077,0
2,0.0011965492267289463,0.4513513304897257,0.5635135272467459,0.5905405290223457,,,392.9458622574806,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_002.ckpt,True,1.0,0.6235923078560061,498,0.5903614163398743,0.740963876247406,0.7791164517402649,242,0.1652892529964447,0.19834710657596588,0.20247933268547058,0.4513513304897257,0
3,0.0007741670471586305,0.46756755379406184,0.5662162313590179,0.6054054132184467,,,402.81965693235395,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_003.ckpt,True,1.0,0.622302878577863,498,0.6204819083213806,0.740963876247406,0.7951807379722595,242,0.1528925597667694,0.20661157369613647,0.21487602591514587,0.46756755379406184,0
4,0.000586473612526877,0.478378360698352,0.5770270452708811,0.6108107990509755,,,403.5792614897092,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_004.ckpt,True,1.0,0.6234392180135173,498,0.6325300931930542,0.7610442042350769,0.8012048006057739,242,0.16115702688694,0.19834710657596588,0.21900826692581177,0.478378360698352,0
5,0.0004719859823366494,0.45405404648265324,0.5783783654908876,0.612162159383297,,,402.2209671576818,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_005.ckpt,False,1.0,0.6226874135751878,498,0.5983935594558716,0.759036123752594,0.7991967797279358,242,0.1570248007774353,0.20661157369613647,0.22727273404598236,0.478378360698352,1
6,0.0003919975901139406,0.4743243293585004,0.5851351245029552,0.6189189076826379,,,402.4357005874316,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_006.ckpt,False,1.0,0.6227500876938143,498,0.6265060305595398,0.7690762877464294,0.8112449645996094,242,0.16115702688694,0.20661157369613647,0.22314049303531647,0.478378360698352,2
7,0.0003458454435444868,0.4810810764899125,0.5851351245029552,0.6148648763427863,,,402.1900085012118,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_007.ckpt,True,1.0,0.6215093586310264,498,0.6285140514373779,0.7690762877464294,0.805220901966095,242,0.17768594622612,0.20661157369613647,0.22314049303531647,0.4810810764899125,0
8,0.0003065879332721996,0.46351350590183926,0.5837837807230047,0.6189189076826379,,,402.7314870754878,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_008.ckpt,False,1.0,0.620964248839886,498,0.6184738874435425,0.7670682668685913,0.8112449645996094,242,0.14462809264659882,0.20661157369613647,0.22314049303531647,0.4810810764899125,1
9,0.00028125672142912685,0.4837837759304691,0.591891907074967,0.6202702857352592,,,402.4928377866745,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_009.ckpt,True,1.0,0.6217642320356062,498,0.6405622363090515,0.7831325531005859,0.8152610659599304,242,0.16115702688694,0.19834710657596588,0.21900826692581177,0.4837837759304691,0
10,0.0002642604743411571,0.5000000097461649,0.6040540635988519,0.635135147539345,,,401.8919204990069,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_010.ckpt,True,1.0,0.6212356599742367,498,0.6566265225410461,0.7951807379722595,0.8373494148254395,242,0.17768594622612,0.21074379980564117,0.21900826692581177,0.5000000097461649,0
11,0.0002420990244009419,0.4878378355019801,0.5918918835150229,0.6216216353548539,,,401.44710657199226,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_011.ckpt,False,1.0,0.6217082613533543,498,0.6385542154312134,0.7791164517402649,0.8152610659599304,242,0.17768594622612,0.20661157369613647,0.22314049303531647,0.5000000097461649,1
12,0.00022940440377183156,0.4959459560142981,0.59729729874714,0.6229729732951602,,,400.93084946870806,740,15500,/workspace/mhernang/VPR/outputs/Resultados_O_2D/checkpoints/epoch_012.ckpt,False,1.0,0.6203379287912,498,0.6566265225410461,0.7871485948562622,0.8192771077156067,242,0.1652892529964447,0.20661157369613647,0.21900826692581177,0.5000000097461649,2
