epoch,train_loss,recall@1,recall@5,recall@10,num_val_queries,num_val_db,num_valid_queries,epoch_time_min,num_train_batches,checkpoint,best_so_far,cph_num_valid_queries,cph_recall@1,cph_recall@5,cph_recall@10,sf_num_valid_queries,sf_recall@1,sf_recall@5,sf_recall@10,best_recall@1_so_far,epochs_without_improvement
1,0.008961812817176533,0.4040540682302939,0.5148648762219661,0.5527027026221559,,,740,384.30786501963934,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_001.ckpt,True,498,0.5180723071098328,0.6666666865348816,0.7228915691375732,242,0.1694214940071106,0.20247933268547058,0.20247933268547058,0.4040540682302939,0
2,0.0026582267154554567,0.4459459318099795,0.5472973051103386,0.5770270452708811,,,740,381.65253727038703,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_002.ckpt,True,498,0.5783132314682007,0.7208835482597351,0.7610442042350769,242,0.1735537201166153,0.1900826394557953,0.19834710657596588,0.4459459318099795,0
3,0.0017411510909701943,0.4581081179348198,0.5635135272467459,0.5918918835150229,,,740,391.9003117799759,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_003.ckpt,True,498,0.6044176816940308,0.740963876247406,0.7791164517402649,242,0.1570248007774353,0.19834710657596588,0.20661157369613647,0.4581081179348198,0
4,0.0013354533786647462,0.4662162100141113,0.5662162089670026,0.5999999863070411,,,740,391.47698163986206,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_004.ckpt,True,498,0.6184738874435425,0.7469879388809204,0.7911646366119385,242,0.1528925597667694,0.19421488046646118,0.20661157369613647,0.4662162100141113,0
5,0.001080716860565283,0.4662162100141113,0.5770270333902255,0.6027026962589573,,,740,390.2794605453809,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_005.ckpt,False,498,0.6184738874435425,0.7530120611190796,0.7891566157341003,242,0.1528925597667694,0.21487602591514587,0.21900826692581177,0.4662162100141113,1
6,0.0009357625800323016,0.4648648603945165,0.5783783890508317,0.6054054073788024,,,740,390.4736619313558,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_006.ckpt,False,498,0.6184738874435425,0.763052225112915,0.7971887588500977,242,0.1487603336572647,0.19834710657596588,0.21074379980564117,0.4662162100141113,2
7,0.0008046280309210741,0.47567565658607996,0.5729729572663436,0.6000000157066294,,,740,390.0303174654643,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_007.ckpt,True,498,0.6325300931930542,0.759036123752594,0.7931727170944214,242,0.1528925597667694,0.1900826394557953,0.20247933268547058,0.47567565658607996,0
8,0.0007119858134361538,0.4932432626147528,0.5878378521751713,0.6202702750225325,,,740,390.8381485382716,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_008.ckpt,True,498,0.654618501663208,0.7730923891067505,0.8172690868377686,242,0.16115702688694,0.20661157369613647,0.21487602591514587,0.4932432626147528,0
9,0.0006455978028574933,0.48243244870288954,0.5932432389742619,0.6148648705031421,,,740,390.3316518783569,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_009.ckpt,False,498,0.6345381736755371,0.7771084308624268,0.8072289228439331,242,0.1694214940071106,0.21487602591514587,0.21900826692581177,0.4932432626147528,1
10,0.0005919757357613939,0.4918918787224873,0.5932432331346177,0.6108107990509755,,,740,390.3242896238963,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_010.ckpt,False,498,0.6526104211807251,0.7791164517402649,0.8012048006057739,242,0.16115702688694,0.21074379980564117,0.21900826692581177,0.4932432626147528,2
11,0.0005343372078417532,0.4689189141263833,0.5851351361822438,0.6135135267231916,,,740,390.47387711207074,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_011.ckpt,False,498,0.6184738874435425,0.7650602459907532,0.805220901966095,242,0.16115702688694,0.21487602591514587,0.21900826692581177,0.4932432626147528,3
12,0.0004985866771256401,0.48918920771495716,0.5972972880344133,0.6256756902546496,,,740,390.6693810661634,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_012.ckpt,False,498,0.6445783376693726,0.7891566157341003,0.8253012299537659,242,0.1694214940071106,0.20247933268547058,0.21487602591514587,0.4932432626147528,4
13,0.0004653805837476206,0.49459458867440353,0.6027027198189013,0.6297297215945011,,,740,389.6929541786512,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_013.ckpt,True,498,0.650602400302887,0.7931727170944214,0.8313252925872803,242,0.1735537201166153,0.21074379980564117,0.21487602591514587,0.49459458867440353,0
14,0.0004432960848253865,0.49729729979424864,0.5932432331346177,0.6175675746154141,,,740,389.62676636775336,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_014.ckpt,True,498,0.6586345434188843,0.7791164517402649,0.8072289228439331,242,0.1652892529964447,0.21074379980564117,0.22727273404598236,0.49729729979424864,0
15,0.00040963367846129963,0.4878378473826357,0.5918918893546672,0.6202702857352592,,,740,390.1226445595423,15500,/workspace/mhernang/VPR/outputs/Resultados/checkpoints/epoch_015.ckpt,False,498,0.6465863585472107,0.7771084308624268,0.8152610659599304,242,0.16115702688694,0.21074379980564117,0.21900826692581177,0.49729729979424864,1
