epoch,train_loss,recall@1,recall@5,recall@10,num_val_queries,num_val_db,num_valid_queries,epoch_time_min,num_train_batches,checkpoint,best_so_far,overlap_found_rate,overlap_weight_mean,cph_num_valid_queries,cph_recall@1,cph_recall@5,cph_recall@10,sf_num_valid_queries,sf_recall@1,sf_recall@5,sf_recall@10,best_recall@1_so_far,epochs_without_improvement
1,0.003625744558548145,0.4256756666544321,0.5256756726148967,0.5662162313590179,,,740,404.65872880617775,15500,/workspace/mhernang/VPR/outputs/Resultados_O_binario/checkpoints/epoch_001.ckpt,True,1.0,0.4772177419354839,498,0.5562248826026917,0.6927710771560669,0.740963876247406,242,0.1570248007774353,0.1818181872367859,0.20661157369613647,0.4256756666544321,0
2,0.0009900951937837623,0.44189188391775697,0.5635135214071016,0.5972972821947691,,,740,403.43925924301146,15500,/workspace/mhernang/VPR/outputs/Resultados_O_binario/checkpoints/epoch_002.ckpt,True,1.0,0.47738911290322583,498,0.5763052105903625,0.7429718971252441,0.7911646366119385,242,0.1652892529964447,0.19421488046646118,0.19834710657596588,0.44189188391775697,0
3,0.0006317500432004298,0.4689189318466831,0.5824324439506273,0.6067567523266818,,,740,402.32444693247476,15500,/workspace/mhernang/VPR/outputs/Resultados_O_binario/checkpoints/epoch_003.ckpt,True,1.0,0.47674193548387095,498,0.6244980096817017,0.7730923891067505,0.8092369437217712,242,0.1487603336572647,0.1900826394557953,0.1900826394557953,0.4689189318466831,0
4,0.00048023519070665866,0.4851351362627906,0.591891890522596,0.6175675650706163,,,740,402.190459895134,15500,/workspace/mhernang/VPR/outputs/Resultados_O_binario/checkpoints/epoch_004.ckpt,True,1.0,0.47614717741935486,498,0.6385542154312134,0.7871485948562622,0.8192771077156067,242,0.1694214940071106,0.1900826394557953,0.20247933268547058,0.4851351362627906,0
5,0.00039009967404171305,0.4864864693300144,0.5864864752904789,0.6148648658314266,,,740,401.85857804218927,15500,/workspace/mhernang/VPR/outputs/Resultados_O_binario/checkpoints/epoch_005.ckpt,True,1.0,0.4740584677419355,498,0.6425702571868896,0.7791164517402649,0.8192771077156067,242,0.1652892529964447,0.1900826394557953,0.19421488046646118,0.4864864693300144,0
6,0.0003181438227300224,0.4851351255500639,0.5891891959551219,0.6243243347954106,,,740,402.47478300333023,15500,/workspace/mhernang/VPR/outputs/Resultados_O_binario/checkpoints/epoch_006.ckpt,False,1.0,0.47254032258064516,498,0.6405622363090515,0.7751004099845886,0.827309250831604,242,0.1652892529964447,0.20661157369613647,0.20661157369613647,0.4864864693300144,1
7,0.0002838632993140722,0.4837837936507689,0.5878378190704294,0.617567559230972,,,740,402.6391559759776,15500,/workspace/mhernang/VPR/outputs/Resultados_O_binario/checkpoints/epoch_007.ckpt,False,1.0,0.4740181451612903,498,0.6465863585472107,0.781124472618103,0.8212851285934448,242,0.1487603336572647,0.1900826394557953,0.19834710657596588,0.4864864693300144,2
8,0.0002559588367143181,0.5000000097461649,0.5972973164674398,0.6189189088505668,,,740,401.49739673932396,15500,/workspace/mhernang/VPR/outputs/Resultados_O_binario/checkpoints/epoch_008.ckpt,True,1.0,0.4740483870967742,498,0.6566265225410461,0.7931727170944214,0.8212851285934448,242,0.17768594622612,0.19421488046646118,0.20247933268547058,0.5000000097461649,0
9,0.00024628648870719507,0.49459458283475927,0.5986486495346637,0.6270270281949559,,,740,401.745743850867,15500,/workspace/mhernang/VPR/outputs/Resultados_O_binario/checkpoints/epoch_009.ckpt,False,1.0,0.4731008064516129,498,0.6526104211807251,0.7971887588500977,0.8293172717094421,242,0.1694214940071106,0.1900826394557953,0.21074379980564117,0.5000000097461649,1
10,0.00022450572425986498,0.4959459667270248,0.6067567453191087,0.632432419867129,,,740,400.81498425801595,15500,/workspace/mhernang/VPR/outputs/Resultados_O_binario/checkpoints/epoch_010.ckpt,False,1.0,0.4733286290322581,498,0.654618501663208,0.8012048006057739,0.8333333134651184,242,0.1694214940071106,0.20661157369613647,0.21900826692581177,0.5000000097461649,2
11,0.0002148873937060977,0.49999999923480526,0.6040540470464809,0.6283783778145506,,,740,402.15615670283637,15500,/workspace/mhernang/VPR/outputs/Resultados_O_binario/checkpoints/epoch_011.ckpt,False,1.0,0.47238104838709677,498,0.6706827282905579,0.7991967797279358,0.8293172717094421,242,0.1487603336572647,0.20247933268547058,0.21487602591514587,0.5000000097461649,3
